회사명,지역,직종
에너닷,서울 강남구,AI
뷰런테크놀로지,서울 서초구,AI
뷰런테크놀로지,서울 서초구,AI
아이스크림에듀,서울 강남구,AI
애드타입,서울 성동구,AI
애드타입,서울 성동구,AI
씨알에스큐브(CRScube),서울 마포구,AI
쿠팡,서울 송파구,AI
비바이노베이션,서울 강남구,AI
레브잇,서울 관악구,AI
엠트리센,서울 금천구,AI
여기어때컴퍼니,서울 강남구,AI
씨이랩,서울 강남구,AI
씨이랩,서울 강남구,AI
콕스웨이브,서울 영등포구,AI
콕스웨이브,서울 영등포구,AI
아토머스(마인드카페),서울 강남구,AI
제이제이앤컴퍼니스,서울 마포구,AI
씨앤에이아이,서울 서초구,AI
하이퍼커넥트,서울 강남구,AI
플라잎,경기 성남시,AI
스카이웨어,서울 마포구,AI
더블유닷에이아이,서울 서초구,AI
룩코,서울 강남구,AI
룩코,서울 강남구,AI
아이아이컴바인드,서울 마포구,AI
라이너(Liner),서울 마포구,AI
티비유,서울 서초구,AI
아스타,서울 강남구,AI
씨앤에이아이,서울 서초구,AI
씨앤에이아이,서울 서초구,AI
씨앤에이아이,서울 서초구,AI
엑스페릭스,서울 송파구,AI
큐빅,서울 서초구,AI
덴컴,서울 강남구,AI
모니터코퍼레이션,서울 서초구,AI
데이터라이즈,서울 강남구,AI
데이터라이즈,서울 강남구,AI
데이터라이즈,서울 강남구,AI
버블탭,서울 강남구,AI
버블탭,서울 강남구,AI
아이오트러스트,서울 강남구,AI
엑셈,서울 강서구,AI
엑셈,서울 강서구,AI
엑셈,서울 강서구,AI
키즈노트,경기 성남시,AI
키즈노트,경기 성남시,AI
코인원(coinone),서울 영등포구,AI
원티드 재팬(wanted),서울,AI
스튜디오프리윌루전,서울 서초구,AI
비모소프트,경기 안양시,AI
메이아이,서울 강남구,AI
룰루랩(lululab),서울 강남구,AI
룰루랩(lululab),서울 강남구,AI
알지에이아이엔씨(RGA Inc.),서울 서초구,AI
알지에이아이엔씨(RGA Inc.),서울 서초구,AI
월급쟁이부자들,서울 서초구,AI
월급쟁이부자들,서울 서초구,AI
와탭랩스(WhaTapLabs),서울 서초구,AI
옵트에이아이,서울 강서구,AI
옵트에이아이,서울 강서구,AI
옵트에이아이,서울 강서구,AI
파이오링크,서울 금천구,AI
코딧(CODITCorp.),서울 영등포구,AI
