번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
5073,진행중,씽크풀,~ 2025-02-21,2025-02-04,단순 업무보조 및 CS업무,AI(RPA),기타,"신입,경력무관",무관
5072,진행중,씽크풀,~ 2025-02-14,2025-02-04,증권 데이터 수집 및 콘텐츠 개발자 모집,AI(RPA),백엔드 개발,"신입,경력무관","파이썬, GIT 활용가능, 오라클 SQL 활용가능"
5071,진행중,씽크풀,~ 2025-02-15,2025-02-04,"증권 챗봇 콘텐츠 운영 및 개발자 모집 (계약직, 프리랜서)",AI(RPA),백엔드 개발,경력,"파이썬, git 활용 가능, 오라클 SQL 활용 가능"
5070,진행중,씽크풀,~ 2025-03-05,2025-02-04,앱 서비스 운영 기획 (신입) 열정있는 신입 대환영,AI(RPA),기획/마케팅,"신입,경력무관","경력무관, 신입 지원 가능"
5069,진행중,시루정보,~ 2025-02-14,2025-02-04,기획/안드로이드개발/시스템운영/java개발/사업관리 PMO 모집,금융 소프트웨어,"백엔드 개발,네트워크/서버/보안,기획/마케팅",경력,각 부문별 상이
5068,진행중,스마트캐스트,~ 2025-02-21,2025-02-04,(주) 스마트캐스트 영업본부 경력자 모집,기타,기타,경력무관,"해당직무 근무 경험, 운전가능자"
5067,진행중,스마트캐스트,~ 2025-02-14,2025-02-04,(주) 스카트캐스트 CS 센터 사원 모집 (주말 재택 근무),기타,기타,"신입,경력무관","주도적이고 능동적인 업무 처리, 능숙한 컴퓨터 사용"
5066,진행중,소테리아,~ 2025-02-17,2025-02-04,인사/총무 경력 채용,기타,기타,경력,"관련분야 자격증 보유자, 법률과 인사 규정 이해도가 높은 분"
5065,진행중,소테리아,~ 2025-02-11,2025-02-04,프론트엔드 디자인 엔지니어,기타,프론트엔드 개발,경력,"Fullchip Inntegration, Fullchip Test plan 설계 및 벡터 운영 등"
5064,진행중,소테리아,~ 2025-02-13,2025-02-04,프론트엔드 디자인 (데이터),기타,프론트엔드 개발,경력,"RTL design and verification (Verilog, VHDL)"
5063,진행중,소테리아,~ 2025-02-13,2025-02-04,프론트엔드 디자인 (AI),"AI(RPA),기타",프론트엔드 개발,경력,"RTL design and verification (Verilog, VHDL)"
5062,진행중,소테리아,~ 2025-02-11,2025-02-03,S/W 개발 엔지니어 채용,기타,네트워크/서버/보안,경력,Firmware/Linux/RTOS 개발 경력등
5061,마감,소테리아,~ 2025-02-07,2025-02-03,SoC 개발 실무 (5~9년),기타,네트워크/서버/보안,경력,ARM Core 사용 경험 보유
5060,진행중,센트비,~ 2025-02-26,2025-02-03,CX Manager (KR),소액해외송금,기타,신입,고객 상담 경험 또는 유관 경험이 있으신 분 (신입 지원 가능)
5059,진행중,(주)센스톤,~ 2025-02-13,2025-02-03,보안솔루션 사업기획 & 영업 (과장급) 채용,금융 소프트웨어,네트워크/서버/보안,경력,사업 기획부터 실행까지 전반적인 경험이 있으신 분
5058,마감,센디,~ 2025-02-03,2025-01-24,센디와 함께 할 차주 서비스 운영매니저를 모십니다. (오후 운영),금융 소프트웨어,기타,"신입,경력무관",다양한 아이디어를 제안하는
5057,진행중,센디,~ 2025-02-22,2025-01-24,센디와 함께 할 어카운트 매니저를 모십니다.,금융 소프트웨어,기타,"신입,경력무관",공격적인 목표 달성 경험 또는 성과 중심 업무 경험이 있는
5056,진행중,헥토데이터,~ 2025-02-22,2025-01-24,[헥토데이터] 셀픽 I/B 영업,금융 소프트웨어,기타,경력,"스크래핑, 데이터, 클라우드 컴퓨팅 등 IT 기술에 대한 기본적인 이해 등"
5055,마감,(주)헥토파이낸셜,~ 2025-02-05,2025-01-24,[헥토파이낸셜] 법무팀 변호사/비변호사 모집 (증원 채용),간편결제/간편송금,기타,경력,법대 졸업 및 법학관련 30학점 이상 이수 또는 법무 유관 업무 경험자
5054,마감,(주)헥토파이낸셜,~ 2025-02-06,2025-01-24,[헥토파이낸셜] 간편결제 기획 (팀장급),간편결제/간편송금,기획/마케팅,경력,핀테크사 또는 커머스사의 간편결제 등 실무 경력 8년 이상
5053,마감,(주)헥토파이낸셜,~ 2025-02-02,2025-01-24,[헥토파이낸셜] 금융서비스 담당자,간편결제/간편송금,네트워크/서버/보안,"신입,경력",신입 ~ 경력6년 이하
5052,마감,(주)헥토파이낸셜,~ 2025-02-07,2025-01-24,[헥토파이낸셜] 재무회계 담당자,간편결제/간편송금,기타,경력,"재무회계, 재무기획 업무 경력, 상장사 or 대형비상장사 근무 경험자"
5051,진행중,(주)헥토파이낸셜,~ 2025-02-09,2025-01-24,[헥토파이낸셜] 공공기관 영업 담당자,간편결제/간편송금,기타,"신입,경력무관",영업 직무에 대한 태도 및 마인드를 갖추신 분
5050,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,스테이킹 서비스 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,"Bitcoin, Ethereum 등 블록체인 관련 기술을 이해하시는 분"
5049,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,CERT 경력 채용,가상자산 교환·중개,네트워크/서버/보안,경력,정보보호 실무 경력이 10년 이상이신 분 • CERT 실무 경력이 6년 이상이신 분
5048,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 클라우드 엔지니어 (주니어),가상자산 교환·중개,네트워크/서버/보안,경력,클라우드 환경(AWS 등) 시스템 구축 및 운영 경험이 1년 이상 있으신 분
5047,마감,빗썸코리아,~ 2025-02-03,2025-01-21,"규제대응 (AML, FDS 등) 시스템 B/E 개발자",가상자산 교환·중개,백엔드 개발,경력,JAVA 언어로 Spring Boot를 활용한 서비스 구축/운영 경력 3년 이상이신 분
5046,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 기술 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,하나 이상의 프로그래밍 언어를 이용하여 서비스를 개발한 경험이 있으신 분
5045,마감,빗썸코리아,~ 2025-02-03,2025-01-21,Back-End - 컴플라이언스 시스템 개발 (3년 이상),가상자산 교환·중개,백엔드 개발,경력,Java 언어로 Spring Boot를 활용한 서비스 구축 및 운영 경력을 3년 이상 보유하신 분
5044,마감,빗썸코리아,~ 2025-01-26,2025-01-21,AWS Cloud DBA,가상자산 교환·중개,빅데이터/AI,경력,• AWS RDS/AURORA MYSQL 설치/구성/운영 경력이 7년 이상이신 분
5043,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 서비스 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,"Java, Spring 기반의 서비스 개발 및 운영 경험이 있으신 분"
5042,마감,빗썸코리아,~ 2025-02-03,2025-01-21,Back-End - 거래소 서비스 개발 (3년 이상),가상자산 교환·중개,백엔드 개발,경력,최소 하나 이상의 프로그래밍 언어를 사용하여 실제 고객에게 서비스 되는 프로젝트에 참여한 경험이 있으신 분
5041,진행중,보난자팩토리,~ 2025-02-19,2025-01-21,"(주) 보난자팩토리 글로벌사업본부 PM 기획, 사업관리 담당 채용",보안/인증,기획/마케팅,경력,"서비스 기획 및 출시, 운영 1 Cycle이상 경험자"
5040,마감,보난자팩토리,~ 2025-01-30,2025-01-21,(주)보난자팩토리 인사총무 경력사원 모,보안/인증,기타,경력,실무 및 관 업무 경험 있으신 분
5039,진행중,주식회사 모인,~ 2025-02-28,2025-01-20,[모인] 고객 운영 매니저 (주간)_상시채,소액해외송금,기타,"신입,경력무관",고객과의 대화에서 문제의 핵심을 찾고 해결하는 과정이 즐거운 분
5038,마감,매드업,~ 2025-01-31,2025-01-20,[테크사업부] 백엔드개발자 - 테크리드 채용,금융 소프트웨어,백엔드 개발,경력,"8년이상의 엔지니어링 실무경험, 기술리더 혹은 매니저 역학 3년 이상 수행하신 분"
5037,마감,매드업,~ 2025-01-31,2025-01-20,[테크사업부] 백엔드 개발자 채용,금융 소프트웨어,백엔드 개발,경력,"Python, Java, C, C++ 등 하나 이상의 개발 언어로 백엔드 개발이 가능하신 분"
5036,마감,매드업,~ 2025-02-02,2025-01-20,[테크사업부] SRE 채용,금융 소프트웨어,네트워크/서버/보안,경력,AWS 인프라 구성 및 운영 관련 경력 2년 이상이신
5035,마감,마이뱅크주식회사,~ 2025-01-31,2025-01-20,일본 핀테크 스타트업을 주도적으로 끌고 가실 분을 채용합니다.,개인자산관리,기획/마케팅,"신입,경력무관",일본인 또는 원어민 수준의 일본어를 구사하시는 분
5034,마감,마이뱅크주식회사,~ 2025-01-31,2025-01-20,글로벌 전략/사업개발을 주도하실 분,개인자산관리,기획/마케팅,"신입,경력무관",글로벌 컨설팅펌 경력자 우대
5033,진행중,더페이,~ 2025-02-13,2025-01-20,JAVA DevOps 개발자 4년차 ~ 15년차,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,4년 이상의 Java개발 경험이 있으신 분 (Spring framework)
5032,진행중,다날,~ 2025-02-15,2025-01-20,다날 홍보/마케팅 총괄 경력 채욛,간편결제/간편송금,기획/마케팅,경력,언론 대응 및 기업 홍보 경험자 등
5031,진행중,다날,~ 2025-02-15,2025-01-20,다날 앱 기반 서비스 마케터 경력 채용 _ 채용시 마,간편결제/간편송금,기획/마케팅,경력,디지털 마케팅 및 퍼포먼스 마케팅 분야에서 다양한 경험을 보유하신 분
5030,마감,다날,~ 2025-02-07,2025-01-20,다날(주) 신사업 영업전략 전문가 채용,간편결제/간편송금,기획/마케팅,경력,"신사업기획, 사업개발, 투자유치 또는 재무분석 관련 7년이상 경험등"
5029,진행중,다날,~ 2025-02-13,2025-01-20,다날 선불/후불 결제서비스 경력 개발자 채용,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,"프론트엔드, 백엔드 각 경력 2년 이상의 개발 능력"
5028,진행중,다날,~ 2025-02-13,2025-01-20,다날 결제시스템 BE 개발 경력 채용,간편결제/간편송금,백엔드 개발,경력,"Java, 객체지향, Spring framework 를 잘 이해하고 활용 가능한 분"
5027,마감,다날,~ 2025-01-30,2025-01-20,다날(주) 결제시스템 서버개발자 증원 채용,간편결제/간편송금,네트워크/서버/보안,경력,"Java, 객체지향, Spring framework를 잘 이해하고 활용 가능한 분"
5026,진행중,다날,~ 2025-02-13,2025-01-20,다날 정보보호 담당 경력 채용,간편결제/간편송금,네트워크/서버/보안,경력,"전자금융거래법, 정보통신망법, 개인정보보호법에 대한 이해 등"
5025,마감,다날,~ 2025-01-31,2025-01-13,"다날 IT인프라 기획, 구축, 운영 관리 담당 경력 채용",간편결제/간편송금,네트워크/서버/보안,경력,"Linux/Windows/가상화 (VMware)/스토리지/백업 인프라 설계와 구축, 운영 경험을 보유하신 분"
5024,진행중,다날,~ 2025-02-11,2025-01-13,다날 결제 관련 서비스 개발 및 운영 부문 경력 채용,간편결제/간편송금,백엔드 개발,경력,"자바, MYSQL/MSSQL/PostgreSQL 사용 경험이 있으신 분"
